"","Participant","Condition","Roundnr","Subjective_performance","Self.efficacy","Fluency","corrected_tick","remaining_rocks","victim_harm","idle_ticks","Human_idle","Robot_idle","Time_score","success"
"1",4005,"C1",1,10,65,24,2582,0,400,1,2292,50,2582,"win"
"2",4005,"C1",2,30,80,49.2,3000,16,400,4,2692,61,4600,"timeout"
"3",4005,"C1",3,100,100,62,1312,0,0,1,1086,34,1312,"win"
"4",4005,"C1",4,0,70,2,3000,6,600,6,2657,61,3600,"timeout"
"5",4005,"C1",5,6,29,2,1315,23,400,2,1144,37,3615,"fatal"
"6",4005,"C1",6,2,16,0,2355,12,1000,2,2097,54,3555,"fatal"
"7",4005,"C1",7,62,70,54.16666667,2089,0,0,1,1781,41,2089,"win"
"8",4005,"C1",8,8,25,0,2321,15,1300,1,2072,42,3821,"fatal"
"9",4006,"C1",1,2,0,0.4,3000,14,1600,6,2629,50,4400,"timeout"
"10",4006,"C1",2,2,1,2,3000,12,2400,1,2701,50,4200,"timeout"
"11",4006,"C1",3,18,18,52.8,3000,13,800,1,2592,50,4300,"timeout"
"12",4006,"C1",4,10,26,18.6,3000,9,800,1,2676,61,3900,"timeout"
"13",4006,"C1",5,64,86,60.8,2813,0,0,5,2357,61,2813,"win"
"14",4006,"C1",6,36,44,40.6,2211,13,600,2,1836,42,3511,"fatal"
"15",4006,"C1",7,28,38,37.16666667,1289,26,500,3,1107,33,3889,"fatal"
"16",4006,"C1",8,14,34,21.2,3000,21,400,1,2579,61,5100,"timeout"
"17",4007,"C1",1,0,20,8,3000,18,2000,1,2499,50,4800,"timeout"
"18",4007,"C1",2,22,19,17.8,3000,15,500,1,2506,61,4500,"timeout"
"19",4007,"C1",3,23,20,23.8,3000,5,1400,1,2593,72,3500,"timeout"
"20",4007,"C1",4,30,26,33,2005,0,200,2,1591,45,2005,"win"
"21",4007,"C1",5,5,30,16,2559,7,2100,6,2226,49,3259,"fatal"
"22",4007,"C1",6,14,30,26.2,3000,10,1900,1,2665,61,4000,"timeout"
"23",4007,"C1",7,20,20,16.66666667,3000,19,800,2,2725,72,4900,"timeout"
"24",4007,"C1",8,40,30,50.6,3000,14,600,1,2610,1238,4400,"timeout"
"25",4008,"C1",1,15,40,47.2,3000,14,0,1,2507,50,4400,"timeout"
"26",4008,"C1",2,35,30,21,2745,0,300,1,2424,48,2745,"win"
"27",4008,"C1",3,39,70,44,3000,6,800,1,2482,61,3600,"timeout"
"28",4008,"C1",4,45,70,51,3000,7,600,1,2311,61,3700,"timeout"
"29",4008,"C1",5,26,35,20,2621,15,1100,1,2215,56,4121,"fatal"
"30",4008,"C1",6,30,70,26.8,3000,9,300,1,2404,501,3900,"timeout"
"31",4008,"C1",7,55,80,65.33333333,2489,0,0,6,1894,67,2489,"win"
"32",4008,"C1",8,83,82,82.2,1596,15,400,1,1322,43,3096,"fatal"
"33",4009,"C1",1,0,20,0,3000,28,800,3,2738,72,5800,"timeout"
"34",4009,"C1",2,20,10,16,3000,15,0,1,2761,50,4500,"timeout"
"35",4009,"C1",3,45,36,72,3000,5,300,1,2684,50,3500,"timeout"
"36",4009,"C1",4,30,60,58.4,2972,0,900,1,2617,55,2972,"win"
"37",4009,"C1",5,0,70,0,3000,13,700,1,2701,985,4300,"timeout"
"38",4009,"C1",6,0,0,0,3000,24,700,4,2616,61,5400,"timeout"
"39",4009,"C1",7,25,40,30,3000,18,400,3,2806,61,4800,"timeout"
"40",4009,"C1",8,0,0,0,3000,21,800,1,2794,50,5100,"timeout"
"41",4010,"C1",1,16,70,40.4,3000,10,300,1,2633,50,4000,"timeout"
"42",4010,"C1",2,25,61,42.8,3000,19,0,4,2768,50,4900,"timeout"
"43",4010,"C1",3,30,74,46.8,3000,15,1200,1,2694,50,4500,"timeout"
"44",4010,"C1",4,37,78,49.4,2996,5,1800,1,2636,57,3496,"timeout"
"45",4010,"C1",5,39,84,49.8,2744,16,1600,1,2481,58,4344,"fatal"
"46",4010,"C1",6,37,89,45.4,1697,12,2100,5,1455,45,2897,"fatal"
"47",4010,"C1",7,38,86,56.16666667,1893,15,1000,1,1614,43,3393,"fatal"
"48",4010,"C1",8,36,100,51.8,3000,21,1200,1,2638,50,5100,"timeout"
"49",4011,"C1",1,0,20,0,3000,23,900,1,2810,50,5300,"timeout"
"50",4011,"C1",2,0,20,0,3000,16,200,1,2670,61,4600,"timeout"
"51",4011,"C1",3,0,0,0,2832,0,700,1,2515,69,2832,"win"
"52",4011,"C1",4,0,0,0,3000,21,400,1,2913,50,5100,"timeout"
"53",4011,"C1",5,0,0,0,3000,20,800,1,2725,50,5000,"timeout"
"54",4011,"C1",6,25,30,22,2722,0,0,4,2404,58,2722,"win"
"55",4011,"C1",7,0,0,3.333333333,3000,15,1000,1,2838,941,4500,"timeout"
"56",4011,"C1",8,0,0,0,2003,25,300,2,1839,43,4503,"fatal"
"57",4012,"C1",1,11,0,0,2996,9,700,1,2530,57,3896,"timeout"
"58",4012,"C1",2,100,75,51.2,2287,0,400,1,1866,41,2287,"win"
"59",4012,"C1",3,34,25,29.8,3000,6,1700,1,2551,61,3600,"timeout"
"60",4012,"C1",4,77,44,64.4,1584,0,900,1,1278,42,1584,"win"
"61",4012,"C1",5,32,26,22,1991,11,1700,1,1576,42,3091,"fatal"
"62",4012,"C1",6,0,7,14,1961,18,500,6,1469,45,3761,"fatal"
"63",4012,"C1",7,0,0,0,1993,14,1000,1,1594,44,3393,"fatal"
"64",4012,"C1",8,38,0,29.6,2841,6,800,1,2369,56,3441,"fatal"
"65",4013,"C1",1,20,95,70.8,3000,23,300,1,2816,50,5300,"timeout"
"66",4013,"C1",2,65,75,61.6,3000,18,800,1,2730,50,4800,"timeout"
"67",4013,"C1",3,70,75,67.8,3000,17,500,1,2798,50,4700,"timeout"
"68",4013,"C1",4,68,68,63.6,3000,13,900,3,2709,61,4300,"timeout"
"69",4013,"C1",5,72,75,72.2,2427,0,500,1,2180,49,2427,"win"
"70",4013,"C1",6,75,70,76.2,3000,8,0,3,2717,72,3800,"timeout"
"71",4013,"C1",7,75,75,72.5,3000,10,600,1,2753,61,4000,"timeout"
"72",4013,"C1",8,75,72,69.2,3000,12,1300,6,2744,61,4200,"timeout"
"73",4014,"C1",1,25,75,47.8,3000,7,400,1,2616,50,3700,"timeout"
"74",4014,"C1",2,59,80,66.4,3000,19,0,2,2639,50,4900,"timeout"
"75",4014,"C1",3,49,69,50.6,3000,11,900,1,2584,50,4100,"timeout"
"76",4014,"C1",4,55,81,58,3000,7,800,6,2566,50,3700,"timeout"
"77",4014,"C1",5,54,70,57.6,2513,0,600,1,2189,58,2513,"win"
"78",4014,"C1",6,18,52,23,3000,25,400,1,2621,61,5500,"timeout"
"79",4014,"C1",7,20,66,56,2519,16,500,2,2198,53,4119,"fatal"
"80",4014,"C1",8,79,75,67.2,3000,15,0,1,2628,61,4500,"timeout"
"81",4015,"C1",1,0,14,0,3000,21,1200,5,2880,50,5100,"timeout"
"82",4015,"C1",2,0,0,0,3000,23,1300,1,2890,50,5300,"timeout"
"83",4015,"C1",3,3,22,8.6,3000,16,1400,1,2810,50,4600,"timeout"
"84",4015,"C1",4,0,9,6,3000,17,1000,1,2816,50,4700,"timeout"
"85",4015,"C1",5,0,8,4.4,3000,22,600,5,2794,116,5200,"timeout"
"86",4015,"C1",6,0,0,2.6,1138,29,700,5,1090,25,4038,"fatal"
"87",4015,"C1",7,11,7,13.5,2181,16,1100,1,2049,45,3781,"fatal"
"88",4015,"C1",8,0,7,0.8,3000,31,500,1,2778,204,6100,"timeout"
"89",4016,"C1",1,36,30,32.4,3000,11,300,1,2731,50,4100,"timeout"
"90",4016,"C1",2,10,14,12,3000,19,500,1,2735,50,4900,"timeout"
"91",4016,"C1",3,37,28,25,3000,6,1000,1,2713,61,3600,"timeout"
"92",4016,"C1",4,28,14,15.2,2883,0,300,1,2548,65,2883,"win"
"93",4016,"C1",5,17,25,20.6,2311,12,1700,2,2070,43,3511,"fatal"
"94",4016,"C1",6,16,11,5.8,1967,7,1200,1,1684,51,2667,"fatal"
"95",4016,"C1",7,7,9,10.5,2355,8,1400,1,2101,43,3155,"fatal"
"96",4016,"C1",8,10,8,11.6,2219,18,300,1,2061,50,4019,"fatal"
"97",4017,"C1",1,17,64,20,1942,0,200,1,1637,37,1942,"win"
"98",4017,"C1",2,6,30,8.2,3000,10,700,1,2438,50,4000,"timeout"
"99",4017,"C1",3,2,3,1.6,3000,9,600,1,2507,61,3900,"timeout"
"100",4017,"C1",4,37,33,61,3000,5,500,1,2501,50,3500,"timeout"
"101",4017,"C1",5,0,5,1,3000,27,700,1,2431,61,5700,"timeout"
"102",4017,"C1",6,62,38,64,1509,0,200,2,1228,44,1509,"win"
"103",4017,"C1",7,41,20,31.16666667,1951,14,900,1,1667,46,3351,"fatal"
"104",4017,"C1",8,0,0,0,3000,24,300,1,2616,61,5400,"timeout"
"105",4018,"C1",1,30,65,46.8,3000,17,0,1,2663,50,4700,"timeout"
"106",4018,"C1",2,31,29,28.2,3000,16,0,1,2636,50,4600,"timeout"
"107",4018,"C1",3,30,27,30.4,3000,11,1800,1,2687,61,4100,"timeout"
"108",4018,"C1",4,26,35,24.6,3000,15,400,1,2666,61,4500,"timeout"
"109",4018,"C1",5,36,31,20.2,2511,21,400,1,2318,45,4611,"fatal"
"110",4018,"C1",6,50,55,51.6,2386,0,300,1,2063,52,2386,"win"
"111",4018,"C1",7,31,40,25.5,3000,21,800,1,2826,61,5100,"timeout"
"112",4018,"C1",8,26,30,19.2,3000,17,0,1,2629,61,4700,"timeout"
"113",4019,"C1",1,0,27,0,3000,14,2600,1,2832,50,4400,"timeout"
"114",4019,"C1",2,56,50,58.6,3000,15,600,6,2637,61,4500,"timeout"
"115",4019,"C1",3,14,35,37.8,3000,21,200,1,2622,314,5100,"timeout"
"116",4019,"C1",4,27,23,47.8,3000,17,1300,1,2498,61,4700,"timeout"
"117",4019,"C1",5,32,32,59.6,3000,17,300,1,2769,963,4700,"timeout"
"118",4019,"C1",6,0,29,23,2987,12,1000,1,2562,59,4187,"fatal"
"119",4019,"C1",7,6,21,34.83333333,3000,21,100,1,2452,61,5100,"timeout"
"120",4019,"C1",8,0,0,57.8,3000,16,900,6,2790,61,4600,"timeout"
"121",4020,"C1",1,20,70,59.4,3000,9,500,1,2508,61,3900,"timeout"
"122",4020,"C1",2,71,70,56.4,2943,0,1000,1,2242,70,2943,"win"
"123",4020,"C1",3,13,14,9,3000,14,2500,1,2361,50,4400,"timeout"
"124",4020,"C1",4,0,0,0,3000,26,0,1,2604,2129,5600,"timeout"
"125",4020,"C1",5,13,20,42.2,2701,11,1200,1,1958,59,3801,"fatal"
"126",4020,"C1",6,36,10,45.2,2825,14,900,5,2398,315,4225,"fatal"
"127",4020,"C1",7,17,13,31.16666667,2095,20,1200,3,1609,168,4095,"fatal"
"128",4020,"C1",8,78,0,78.6,2483,7,1400,1,1907,50,3183,"fatal"
"129",4021,"C1",1,20,20,32,2660,0,500,1,2169,51,2660,"win"
"130",4021,"C1",2,10,50,10,3000,6,900,1,2489,50,3600,"timeout"
"131",4021,"C1",3,60,60,49,1638,0,100,2,1197,41,1638,"win"
"132",4021,"C1",4,14,30,13.4,3000,15,0,1,2702,61,4500,"timeout"
"133",4021,"C1",5,69,50,43.8,1813,0,200,1,1363,40,1813,"win"
"134",4021,"C1",6,0,0,0,3000,17,400,4,2247,61,4700,"timeout"
"135",4021,"C1",7,76,70,61.5,2054,0,700,1,1424,50,2054,"win"
"136",4021,"C1",8,0,0,0,3000,22,700,1,2458,61,5200,"timeout"
"137",4022,"C1",1,16,67,22.6,2775,0,200,1,2186,56,2775,"win"
"138",4022,"C1",2,1,6,3,3000,19,0,1,2415,61,4900,"timeout"
